행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,2021년12월_남_총인구수,2021년12월_남_연령구간인구수,2021년12월_남_0~9세,2021년12월_남_10~19세,2021년12월_남_20~29세,2021년12월_남_30~39세,2021년12월_남_40~49세,2021년12월_남_50~59세,2021년12월_남_60~69세,2021년12월_남_70~79세,2021년12월_남_80~89세,2021년12월_남_90~99세,2021년12월_남_100세 이상,2021년12월_여_총인구수,2021년12월_여_연령구간인구수,2021년12월_여_0~9세,2021년12월_여_10~19세,2021년12월_여_20~29세,2021년12월_여_30~39세,2021년12월_여_40~49세,2021년12월_여_50~59세,2021년12월_여_60~69세,2021년12월_여_70~79세,2021년12월_여_80~89세,2021년12월_여_90~99세,2021년12월_여_100세 이상
서울특별시  (1100000000),9509458 ,9509458 ,583683 ,756136 ,1422277 ,1439279 ,1480780 ,1507194 ,1285922 ,695800 ,295009 ,41735 ,1643 ,4618040 ,4618040 ,299764 ,387691 ,684530 ,718763 ,733371 ,742757 ,607114 ,316508 ,116524 ,10637 ,381 ,4891418 ,4891418 ,283919 ,368445 ,737747 ,720516 ,747409 ,764437 ,678808 ,379292 ,178485 ,31098 ,1262 
서울특별시 종로구 (1111000000),144683 ,144683 ,6984 ,10381 ,22802 ,19470 ,20969 ,24957 ,20352 ,11637 ,6149 ,950 ,32 ,70183 ,70183 ,3540 ,5157 ,10973 ,9707 ,10136 ,12574 ,10139 ,5176 ,2482 ,290 ,9 ,74500 ,74500 ,3444 ,5224 ,11829 ,9763 ,10833 ,12383 ,10213 ,6461 ,3667 ,660 ,23 
서울특별시 중구 (1114000000),122499 ,122499 ,6299 ,6474 ,18309 ,19886 ,17379 ,20043 ,18083 ,10221 ,4967 ,812 ,26 ,59630 ,59630 ,3265 ,3206 ,8477 ,9909 ,8898 ,10166 ,9023 ,4633 ,1821 ,221 ,11 ,62869 ,62869 ,3034 ,3268 ,9832 ,9977 ,8481 ,9877 ,9060 ,5588 ,3146 ,591 ,15 
서울특별시 용산구 (1117000000),222953 ,222953 ,12653 ,14692 ,32778 ,37719 ,33781 ,36122 ,29169 ,15960 ,8591 ,1417 ,71 ,107210 ,107210 ,6523 ,7444 ,15432 ,18641 ,16651 ,17821 ,14068 ,6977 ,3206 ,427 ,20 ,115743 ,115743 ,6130 ,7248 ,17346 ,19078 ,17130 ,18301 ,15101 ,8983 ,5385 ,990 ,51 
서울특별시 성동구 (1120000000),285990 ,285990 ,19222 ,18903 ,43463 ,46815 ,43346 ,46154 ,37768 ,20111 ,9002 ,1158 ,48 ,139380 ,139380 ,9797 ,9436 ,21395 ,23032 ,21733 ,22846 ,18458 ,8951 ,3419 ,299 ,14 ,146610 ,146610 ,9425 ,9467 ,22068 ,23783 ,21613 ,23308 ,19310 ,11160 ,5583 ,859 ,34 
서울특별시 광진구 (1121500000),339996 ,339996 ,17744 ,24774 ,61616 ,54715 ,50470 ,53801 ,44152 ,21933 ,9495 ,1246 ,50 ,164058 ,164058 ,9116 ,12568 ,28844 ,27157 ,24860 ,26363 ,20992 ,10029 ,3780 ,337 ,12 ,175938 ,175938 ,8628 ,12206 ,32772 ,27558 ,25610 ,27438 ,23160 ,11904 ,5715 ,909 ,38 
서울특별시 동대문구 (1123000000),337400 ,337400 ,19590 ,22767 ,56271 ,49023 ,49002 ,52243 ,47532 ,27290 ,12143 ,1470 ,69 ,166646 ,166646 ,10032 ,11567 ,27506 ,25196 ,25265 ,26491 ,23043 ,12323 ,4816 ,388 ,19 ,170754 ,170754 ,9558 ,11200 ,28765 ,23827 ,23737 ,25752 ,24489 ,14967 ,7327 ,1082 ,50 
서울특별시 중랑구 (1126000000),387350 ,387350 ,21285 ,25432 ,54128 ,57025 ,55710 ,67518 ,60705 ,31176 ,12702 ,1602 ,67 ,191112 ,191112 ,10961 ,12917 ,26637 ,29325 ,28844 ,33407 ,29431 ,14208 ,5012 ,352 ,18 ,196238 ,196238 ,10324 ,12515 ,27491 ,27700 ,26866 ,34111 ,31274 ,16968 ,7690 ,1250 ,49 
서울특별시 성북구 (1129000000),430528 ,430528 ,27326 ,35986 ,65580 ,58415 ,67446 ,69280 ,56803 ,32464 ,15136 ,2027 ,65 ,207578 ,207578 ,13968 ,18296 ,31395 ,29213 ,33248 ,34156 ,26706 ,14133 ,5948 ,504 ,11 ,222950 ,222950 ,13358 ,17690 ,34185 ,29202 ,34198 ,35124 ,30097 ,18331 ,9188 ,1523 ,54 
서울특별시 강북구 (1130500000),299182 ,299182 ,14148 ,20796 ,41001 ,37120 ,43923 ,51700 ,47172 ,29304 ,12507 ,1466 ,45 ,145705 ,145705 ,7312 ,10667 ,20085 ,19393 ,22624 ,25494 ,22078 ,12620 ,5026 ,395 ,11 ,153477 ,153477 ,6836 ,10129 ,20916 ,17727 ,21299 ,26206 ,25094 ,16684 ,7481 ,1071 ,34 
서울특별시 도봉구 (1132000000),317366 ,317366 ,17044 ,24311 ,41496 ,39246 ,46156 ,56006 ,51366 ,27483 ,12478 ,1691 ,89 ,154487 ,154487 ,8884 ,12498 ,21033 ,20073 ,22922 ,26819 ,24280 ,12600 ,4891 ,459 ,28 ,162879 ,162879 ,8160 ,11813 ,20463 ,19173 ,23234 ,29187 ,27086 ,14883 ,7587 ,1232 ,61 
서울특별시 노원구 (1135000000),510956 ,510956 ,30658 ,50312 ,69956 ,63138 ,81770 ,87029 ,70747 ,37296 ,17393 ,2571 ,86 ,246053 ,246053 ,15827 ,26107 ,35747 ,31436 ,38955 ,42067 ,32887 ,16248 ,6141 ,627 ,11 ,264903 ,264903 ,14831 ,24205 ,34209 ,31702 ,42815 ,44962 ,37860 ,21048 ,11252 ,1944 ,75 
서울특별시 은평구 (1138000000),473307 ,473307 ,27655 ,37208 ,65282 ,67027 ,74103 ,77244 ,67015 ,38521 ,17089 ,2091 ,72 ,226458 ,226458 ,14233 ,19043 ,31164 ,32897 ,36673 ,37200 ,30942 ,16795 ,6923 ,575 ,13 ,246849 ,246849 ,13422 ,18165 ,34118 ,34130 ,37430 ,40044 ,36073 ,21726 ,10166 ,1516 ,59 
서울특별시 서대문구 (1141000000),304819 ,304819 ,18881 ,22493 ,48896 ,44235 ,45250 ,48640 ,39700 ,23288 ,11802 ,1561 ,73 ,145694 ,145694 ,9632 ,11246 ,23212 ,21880 ,22345 ,23685 ,18753 ,9968 ,4542 ,415 ,16 ,159125 ,159125 ,9249 ,11247 ,25684 ,22355 ,22905 ,24955 ,20947 ,13320 ,7260 ,1146 ,57 
서울특별시 마포구 (1144000000),368905 ,368905 ,23661 ,27705 ,61353 ,63597 ,59819 ,54962 ,41205 ,23378 ,11521 ,1632 ,72 ,173504 ,173504 ,12103 ,13957 ,27427 ,30045 ,29007 ,26963 ,19240 ,9827 ,4462 ,452 ,21 ,195401 ,195401 ,11558 ,13748 ,33926 ,33552 ,30812 ,27999 ,21965 ,13551 ,7059 ,1180 ,51 
서울특별시 양천구 (1147000000),447302 ,447302 ,29534 ,49472 ,57388 ,55657 ,76508 ,76170 ,60280 ,29215 ,11300 ,1721 ,57 ,219214 ,219214 ,15181 ,25828 ,29126 ,27476 ,36550 ,37924 ,28809 ,13737 ,4164 ,408 ,11 ,228088 ,228088 ,14353 ,23644 ,28262 ,28181 ,39958 ,38246 ,31471 ,15478 ,7136 ,1313 ,46 
서울특별시 강서구 (1150000000),574315 ,574315 ,36646 ,43517 ,85652 ,97831 ,89266 ,84408 ,79382 ,39405 ,15603 ,2523 ,82 ,276292 ,276292 ,18619 ,22276 ,39227 ,49313 ,44826 ,40659 ,36628 ,18454 ,5700 ,571 ,19 ,298023 ,298023 ,18027 ,21241 ,46425 ,48518 ,44440 ,43749 ,42754 ,20951 ,9903 ,1952 ,63 
서울특별시 구로구 (1153000000),396754 ,396754 ,25967 ,29191 ,53703 ,61071 ,61183 ,62294 ,57489 ,31972 ,12288 ,1554 ,42 ,195537 ,195537 ,13255 ,14989 ,26291 ,31131 ,31333 ,30859 ,27124 ,15156 ,5002 ,385 ,12 ,201217 ,201217 ,12712 ,14202 ,27412 ,29940 ,29850 ,31435 ,30365 ,16816 ,7286 ,1169 ,30 
서울특별시 금천구 (1154500000),230811 ,230811 ,11676 ,13955 ,37202 ,36570 ,31638 ,39348 ,34564 ,17974 ,6976 ,878 ,30 ,116527 ,116527 ,6018 ,7057 ,18339 ,20237 ,16674 ,19762 ,16976 ,8433 ,2801 ,223 ,7 ,114284 ,114284 ,5658 ,6898 ,18863 ,16333 ,14964 ,19586 ,17588 ,9541 ,4175 ,655 ,23 
서울특별시 영등포구 (1156000000),376837 ,376837 ,24756 ,23640 ,58693 ,69403 ,55441 ,56262 ,48250 ,26867 ,11950 ,1522 ,53 ,185926 ,185926 ,12670 ,12307 ,27187 ,35400 ,28562 ,28723 ,23432 ,12335 ,4876 ,421 ,13 ,190911 ,190911 ,12086 ,11333 ,31506 ,34003 ,26879 ,27539 ,24818 ,14532 ,7074 ,1101 ,40 
서울특별시 동작구 (1159000000),385483 ,385483 ,22992 ,26967 ,64882 ,60826 ,57207 ,58073 ,50478 ,29582 ,12617 ,1775 ,84 ,186426 ,186426 ,11754 ,13821 ,31308 ,30743 ,28686 ,28059 ,23298 ,13106 ,5155 ,476 ,20 ,199057 ,199057 ,11238 ,13146 ,33574 ,30083 ,28521 ,30014 ,27180 ,16476 ,7462 ,1299 ,64 
서울특별시 관악구 (1162000000),485699 ,485699 ,19843 ,27057 ,108154 ,85556 ,65543 ,67025 ,59970 ,36640 ,14186 ,1664 ,61 ,243991 ,243991 ,10186 ,13835 ,52492 ,47453 ,35040 ,33980 ,27931 ,16709 ,5948 ,408 ,9 ,241708 ,241708 ,9657 ,13222 ,55662 ,38103 ,30503 ,33045 ,32039 ,19931 ,8238 ,1256 ,52 
서울특별시 서초구 (1165000000),412279 ,412279 ,31699 ,44477 ,52009 ,59545 ,75078 ,62579 ,48095 ,26738 ,10219 ,1747 ,93 ,197034 ,197034 ,16281 ,22620 ,24977 ,27299 ,35141 ,31059 ,22176 ,12481 ,4511 ,465 ,24 ,215245 ,215245 ,15418 ,21857 ,27032 ,32246 ,39937 ,31520 ,25919 ,14257 ,5708 ,1282 ,69 
서울특별시 강남구 (1168000000),533042 ,533042 ,34726 ,59141 ,70774 ,77662 ,97729 ,81956 ,61527 ,34567 ,12600 ,2254 ,106 ,255047 ,255047 ,17904 ,30864 ,33686 ,35758 ,45110 ,41108 ,28300 ,16281 ,5472 ,547 ,17 ,277995 ,277995 ,16822 ,28277 ,37088 ,41904 ,52619 ,40848 ,33227 ,18286 ,7128 ,1707 ,89 
서울특별시 송파구 (1171000000),658338 ,658338 ,48373 ,57635 ,90422 ,106630 ,107209 ,101614 ,87536 ,41260 ,15002 ,2567 ,90 ,317346 ,317346 ,24871 ,29494 ,43016 ,50866 ,51891 ,49314 ,41101 ,20147 ,6015 ,616 ,15 ,340992 ,340992 ,23502 ,28141 ,47406 ,55764 ,55318 ,52300 ,46435 ,21113 ,8987 ,1951 ,75 
서울특별시 강동구 (1174000000),462664 ,462664 ,34321 ,38850 ,60467 ,71097 ,74854 ,71766 ,66582 ,31518 ,11293 ,1836 ,80 ,227002 ,227002 ,17832 ,20491 ,29554 ,35183 ,37397 ,35258 ,31299 ,15181 ,4411 ,376 ,20 ,235662 ,235662 ,16489 ,18359 ,30913 ,35914 ,37457 ,36508 ,35283 ,16337 ,6882 ,1460 ,60 
부산광역시  (2600000000),3350380 ,3350380 ,219611 ,266105 ,415549 ,405300 ,502391 ,554768 ,548878 ,298128 ,123791 ,15457 ,402 ,1639044 ,1639044 ,112744 ,137079 ,215370 ,207947 ,253509 ,270303 ,258914 ,134692 ,45094 ,3330 ,62 ,1711336 ,1711336 ,106867 ,129026 ,200179 ,197353 ,248882 ,284465 ,289964 ,163436 ,78697 ,12127 ,340 
부산광역시 중구 (2611000000),40524 ,40524 ,1117 ,1872 ,5839 ,4477 ,5118 ,6722 ,7918 ,4962 ,2169 ,323 ,7 ,19755 ,19755 ,590 ,937 ,2836 ,2411 ,2808 ,3417 ,3770 ,2129 ,777 ,80 ,0 ,20769 ,20769 ,527 ,935 ,3003 ,2066 ,2310 ,3305 ,4148 ,2833 ,1392 ,243 ,7 
부산광역시 서구 (2614000000),105164 ,105164 ,5310 ,7082 ,13028 ,10552 ,14164 ,17090 ,19315 ,12232 ,5659 ,714 ,18 ,50853 ,50853 ,2773 ,3623 ,6301 ,5424 ,7323 ,8809 ,9021 ,5356 ,2085 ,133 ,5 ,54311 ,54311 ,2537 ,3459 ,6727 ,5128 ,6841 ,8281 ,10294 ,6876 ,3574 ,581 ,13 
부산광역시 동구 (2617000000),87679 ,87679 ,3964 ,4824 ,10278 ,10400 ,11575 ,14296 ,16111 ,10677 ,4935 ,604 ,15 ,42877 ,42877 ,2106 ,2494 ,5156 ,5476 ,6242 ,7370 ,7572 ,4625 ,1690 ,143 ,3 ,44802 ,44802 ,1858 ,2330 ,5122 ,4924 ,5333 ,6926 ,8539 ,6052 ,3245 ,461 ,12 
부산광역시 영도구 (2620000000),110638 ,110638 ,4874 ,7042 ,11465 ,10253 ,14550 ,18600 ,22346 ,14549 ,6222 ,710 ,27 ,54471 ,54471 ,2482 ,3576 ,6285 ,5538 ,7616 ,9594 ,10680 ,6367 ,2186 ,145 ,2 ,56167 ,56167 ,2392 ,3466 ,5180 ,4715 ,6934 ,9006 ,11666 ,8182 ,4036 ,565 ,25 
부산광역시 부산진구 (2623000000),353159 ,353159 ,20097 ,24034 ,50989 ,47020 ,50121 ,56616 ,57250 ,31720 ,13738 ,1549 ,25 ,170181 ,170181 ,10192 ,12174 ,24653 ,24003 ,25405 ,27521 ,26771 ,14130 ,4986 ,343 ,3 ,182978 ,182978 ,9905 ,11860 ,26336 ,23017 ,24716 ,29095 ,30479 ,17590 ,8752 ,1206 ,22 
부산광역시 동래구 (2626000000),266866 ,266866 ,18726 ,24522 ,31201 ,31643 ,42507 ,43330 ,42034 ,22835 ,8917 ,1123 ,28 ,129681 ,129681 ,9688 ,12748 ,16241 ,15926 ,20819 ,20704 ,19392 ,10472 ,3432 ,255 ,4 ,137185 ,137185 ,9038 ,11774 ,14960 ,15717 ,21688 ,22626 ,22642 ,12363 ,5485 ,868 ,24 
부산광역시 남구 (2629000000),262069 ,262069 ,16611 ,22527 ,34143 ,28193 ,40440 ,42202 ,41484 ,25136 ,10112 ,1191 ,30 ,127955 ,127955 ,8466 ,11605 ,17963 ,14503 ,20282 ,20677 ,19089 ,11187 ,3917 ,261 ,5 ,134114 ,134114 ,8145 ,10922 ,16180 ,13690 ,20158 ,21525 ,22395 ,13949 ,6195 ,930 ,25 
부산광역시 북구 (2632000000),283211 ,283211 ,18340 ,22445 ,35666 ,33678 ,39791 ,52430 ,48637 ,22196 ,8898 ,1107 ,23 ,139795 ,139795 ,9420 ,11687 ,19066 ,17618 ,19832 ,24734 ,23932 ,10211 ,3085 ,208 ,2 ,143416 ,143416 ,8920 ,10758 ,16600 ,16060 ,19959 ,27696 ,24705 ,11985 ,5813 ,899 ,21 
부산광역시 해운대구 (2635000000),396438 ,396438 ,27097 ,36918 ,46850 ,45120 ,63976 ,69405 ,60122 ,31233 ,13822 ,1840 ,55 ,190624 ,190624 ,13979 ,19015 ,24443 ,22146 ,30527 ,32997 ,28243 ,13911 ,4939 ,410 ,14 ,205814 ,205814 ,13118 ,17903 ,22407 ,22974 ,33449 ,36408 ,31879 ,17322 ,8883 ,1430 ,41 
부산광역시 사하구 (2638000000),306003 ,306003 ,18330 ,24510 ,38220 ,34919 ,44747 ,53211 ,53340 ,26964 ,10369 ,1367 ,26 ,152197 ,152197 ,9456 ,12649 ,20497 ,18564 ,22955 ,26129 ,25583 ,12422 ,3678 ,260 ,4 ,153806 ,153806 ,8874 ,11861 ,17723 ,16355 ,21792 ,27082 ,27757 ,14542 ,6691 ,1107 ,22 
부산광역시 금정구 (2641000000),228049 ,228049 ,12089 ,17215 ,32019 ,24174 ,31261 ,39018 ,39694 ,21942 ,9406 ,1201 ,30 ,111513 ,111513 ,6205 ,8876 ,17291 ,12685 ,15550 ,18643 ,18522 ,10001 ,3468 ,270 ,2 ,116536 ,116536 ,5884 ,8339 ,14728 ,11489 ,15711 ,20375 ,21172 ,11941 ,5938 ,931 ,28 
부산광역시 강서구 (2644000000),142918 ,142918 ,19700 ,12957 ,12565 ,26821 ,26072 ,17201 ,17050 ,7224 ,2845 ,471 ,12 ,74047 ,74047 ,10224 ,6589 ,6857 ,13637 ,14461 ,8978 ,8596 ,3619 ,990 ,94 ,2 ,68871 ,68871 ,9476 ,6368 ,5708 ,13184 ,11611 ,8223 ,8454 ,3605 ,1855 ,377 ,10 
부산광역시 연제구 (2647000000),207144 ,207144 ,13970 ,16236 ,24911 ,26303 ,31562 ,33531 ,33606 ,18582 ,7528 ,889 ,26 ,99761 ,99761 ,7045 ,8352 ,12631 ,13228 ,15562 ,15861 ,15459 ,8479 ,2938 ,201 ,5 ,107383 ,107383 ,6925 ,7884 ,12280 ,13075 ,16000 ,17670 ,18147 ,10103 ,4590 ,688 ,21 
